Year,Quarter,Report Type,PDF Link,Format
2022.0,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/2022/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-4°TRE-2022.pdf,text
2022.0,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/2022/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf,text
2022.0,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/2022/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-4°TRE-2022.pdf,text
2022.0,,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/2022/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-4°TRE-2022.pdf,text
2023.0,4Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/2023/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-2023-4°TRI.pdf,text
2023.0,4Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/2023/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-2023-4°TRI.pdf,text
2023.0,4Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/2023/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-2023-4°TRI.pdf,text
2023.0,4Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/2023/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-2023-4°TRI.pdf,text
2023.0,4Q,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/2023/ESTADO-DE-EJECUCION-DE-GASTOS-POR-PERSPECTIVA-DE-GENERO-4°TRIMESTRE-2023.pdf,text
,Q1,Ejecución de Gastos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Junio.pdf,text
