type,description,severity,details
Missing Document,No PDF documents found for year 2018 in cold_storage/documents/pdf/,High,Consider filing FOIA request for 2018 data.
Missing Document,No PDF documents found for year 2019 in cold_storage/documents/pdf/,High,Consider filing FOIA request for 2019 data.
Missing Document,No PDF documents found for year 2021 in cold_storage/documents/pdf/,High,Consider filing FOIA request for 2021 data.
Missing Document,No PDF documents found for year 2022 in cold_storage/documents/pdf/,High,Consider filing FOIA request for 2022 data.
Missing Document,No PDF documents found for year 2023 in cold_storage/documents/pdf/,High,Consider filing FOIA request for 2023 data.
Missing Document,No PDF documents found for year 2024 in cold_storage/documents/pdf/,High,Consider filing FOIA request for 2024 data.
