id,title,url,year,category,source,type,description,official_url,size_mb,last_modified
pdf-32,ESCALA SALARIAL OCTUBRE 2024,http://carmendeareco.gob.ar/wp-content/uploads/2024/ESCALA-SALARIAL-OCTUBRE-2024.pdf,2024,Recursos_Humanos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Recursos Humanos,http://carmendeareco.gob.ar/wp-content/uploads/2024/ESCALA-SALARIAL-OCTUBRE-2024.pdf,0.41,
pdf-167,ESCALAS SALARIALES FEBRERO 2024,http://carmendeareco.gob.ar/wp-content/uploads/2024/ESCALAS-SALARIALES-FEBRERO-2024.pdf,2024,Recursos_Humanos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Recursos Humanos,http://carmendeareco.gob.ar/wp-content/uploads/2024/ESCALAS-SALARIALES-FEBRERO-2024.pdf,0.41,
pdf-13,SUELDOS MAYO 2023,http://carmendeareco.gob.ar/wp-content/uploads/2023/SUELDOS-MAYO-2023.pdf,2023,Recursos_Humanos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Recursos Humanos,http://carmendeareco.gob.ar/wp-content/uploads/2023/SUELDOS-MAYO-2023.pdf,0.41,
pdf-20,SUELDOS JULIO 2023,http://carmendeareco.gob.ar/wp-content/uploads/2023/SUELDOS-JULIO-2023.pdf,2023,Recursos_Humanos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Recursos Humanos,http://carmendeareco.gob.ar/wp-content/uploads/2023/SUELDOS-JULIO-2023.pdf,0.4,
pdf-51,SUELDOS JUNIO 2023,http://carmendeareco.gob.ar/wp-content/uploads/2023/SUELDOS-JUNIO-2023.pdf,2023,Recursos_Humanos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Recursos Humanos,http://carmendeareco.gob.ar/wp-content/uploads/2023/SUELDOS-JUNIO-2023.pdf,0.4,
pdf-54,SUELDOS ENERO 2023,http://carmendeareco.gob.ar/wp-content/uploads/2023/SUELDOS-ENERO-2023.pdf,2023,Recursos_Humanos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Recursos Humanos,http://carmendeareco.gob.ar/wp-content/uploads/2023/SUELDOS-ENERO-2023.pdf,0.4,
pdf-98,SUELDOS SEPTIEMBRE 2023,http://carmendeareco.gob.ar/wp-content/uploads/2023/SUELDOS-SEPTIEMBRE-2023.pdf,2023,Recursos_Humanos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Recursos Humanos,http://carmendeareco.gob.ar/wp-content/uploads/2023/SUELDOS-SEPTIEMBRE-2023.pdf,0.41,
pdf-140,SUELDOS MARZO 2023,http://carmendeareco.gob.ar/wp-content/uploads/2023/SUELDOS-MARZO-2023.pdf,2023,Recursos_Humanos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Recursos Humanos,http://carmendeareco.gob.ar/wp-content/uploads/2023/SUELDOS-MARZO-2023.pdf,0.4,
