id,title,url,year,category,source,type,description,official_url,size_mb,last_modified
pdf-67,Ordenanza Fiscal 3057 2021,http://carmendeareco.gob.ar/wp-content/uploads/2021/Ordenanza-Fiscal-3057-2021.pdf,2021,Documentos Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2021/Ordenanza-Fiscal-3057-2021.pdf,0.64,
pdf-57,Ordenanza Impositiva 3059 2021,http://carmendeareco.gob.ar/wp-content/uploads/2021/Ordenanza-Impositiva-3059-2021.pdf,2021,Documentos Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2021/Ordenanza-Impositiva-3059-2021.pdf,0.77,
pdf-78,SITUACION ECONOMICO FINANCIERA AL CIERRE 2021..,http://carmendeareco.gob.ar/wp-content/uploads/2021/SITUACION-ECONOMICO-FINANCIERA-AL-CIERRE-2021...pdf,2021,Documentos Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2021/SITUACION-ECONOMICO-FINANCIERA-AL-CIERRE-2021...pdf,1.14,
