id,title,url,year,category,source,type,description,official_url,size_mb,last_modified
pdf-25,DDJJ 2024,http://carmendeareco.gob.ar/wp-content/uploads/2024/DDJJ-2024.pdf,2024,Declaraciones_Patrimoniales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Declaraciones Patrimoniales,http://carmendeareco.gob.ar/wp-content/uploads/2024/DDJJ-2024.pdf,0.43,
pdf-12,ddjj 2023,http://carmendeareco.gob.ar/wp-content/uploads/2023/ddjj-2023.pdf,2023,Declaraciones_Patrimoniales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Declaraciones Patrimoniales,http://carmendeareco.gob.ar/wp-content/uploads/2023/ddjj-2023.pdf,0.41,
pdf-7,ddjj 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/ddjj-2022.pdf,2022,Declaraciones_Patrimoniales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Declaraciones Patrimoniales,http://carmendeareco.gob.ar/wp-content/uploads/2022/ddjj-2022.pdf,0.41,
