Year,Report/Notice Type,Title,Link,Format,source_file,source_path,filename,title,year,quarter,category,source,tables_extracted,text_pages,extraction_timestamp,output_files_count
2010-2020,Fiscal Statistics,CUD Evolution,https://github.com/flongstaff/cda-transparencia/raw/main/data/cud_evolution_2010_2020.csv,CSV,master_index.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/master_index.csv,,,,,,,,,,
,,,,,master_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/master_index_merged.csv,Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Junio.pdf,Estado de Ejecución de Gastos - None - Q1,,Q1,Ejecución de Gastos,local,2.0,2.0,2025-09-26T20:13:44.650102,5.0
,,,,,master_index_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/master_index_merged.csv,GASTOS-POR-FUENTE-DE-FINANCIAMIENTO.pdf,GASTOS POR FUENTE DE FINANCIAMIENTO,,,Documentos Municipales,local,1.0,1.0,2025-09-26T20:13:44.834279,4.0
