year,quarter,document_type,title,file_path,format,description,status
2023,Anual,Estado de Ejecución de Recursos,ESTADO-DE-EJECUCION-DE-RECURSOS-2023-4 TRI_financial_data json - Fecha: 23/04/2024,/Users/flong/Developer/cda-transparencia/data/extracted_data/ESTADO-DE-EJECUCION-DE-RECURSOS-2023-4°TRI_financial_data.json,JSON,,Procesado
Unknown,Q4,Situación Económico-Financiera,SITUACION-ECONOMICA-FINANCIERA-4 TRIMESTRE_financial_data json - Fecha: 23/04/2024,/Users/flong/Developer/cda-transparencia/data/extracted_data/SITUACION-ECONOMICA-FINANCIERA-4°TRIMESTRE_financial_data.json,JSON,,Procesado
2023,Anual,Gastos,ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-2023-4 TRI_financial_data json - Fecha: 23/04/2024,/Users/flong/Developer/cda-transparencia/data/extracted_data/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-2023-4°TRI_financial_data.json,JSON,,Procesado
