11.9.06.00 - Ingresos Brutos. Ley 13010,21 - Origen Provincial - De,"4.583.786,58","0,00","4.583.786,58.1","3.170.976,46","1.412.810,12","3.170.976,46.1","0,00.1","1.412.810,12.1"
,libre disponibilidad,,,,,,,,
11.9.07.00 - Impuesto Automotor,,,,,,,,,
11.9.07.01 - Impuesto Automotor.Del ejercicio,21 - Origen Provincial - De,"2.415.891,00","0,00","2.415.891,00","16.620.574,72","-14.204.683,72","3.053.910,53","13.566.664,19","-638.019,53"
,libre disponibilidad,,,,,,,,
11.9.07.02 - Impuesto Automotor. Ejercicios,21 - Origen Provincial - De,"4.776.940,00","0,00","4.776.940,00","0,00","4.776.940,00","993.618,85","-993.618,85","3.783.321,15"
Anteriores,libre disponibilidad,,,,,,,,
Total Impuesto Automotor,,"7.192.831,00","0,00","7.192.831,00","16.620.574,72","-9.427.743,72","4.047.529,38","12.573.045,34","3.145.301,62"
Total Otros tributarios,,"69.980.556,53","9.555.173,15","79.535.729,68","65.875.454,54","13.660.275,14","53.302.409,20","12.573.045,34","26.233.320,48"
Total Ingresos Tributarios,,"486.336.104,15","52.931.858,97","539.267.963,12","418.214.325,32","121.053.637,80","405.641.279,98","12.573.045,34","133.626.683,14"
