id,title,url,year,category,source,type,description,official_url,size_mb,last_modified
pdf-0,LICITACION PUBLICA N°11,http://carmendeareco.gob.ar/wp-content/uploads/2023/LICITACION-PUBLICA-N°11.pdf,2023,Contrataciones,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Contrataciones,http://carmendeareco.gob.ar/wp-content/uploads/2023/LICITACION-PUBLICA-N°11.pdf,0.73,
pdf-3,LICITACION PUBLICA N°10,http://carmendeareco.gob.ar/wp-content/uploads/2023/LICITACION-PUBLICA-N°10.pdf,2023,Contrataciones,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Contrataciones,http://carmendeareco.gob.ar/wp-content/uploads/2023/LICITACION-PUBLICA-N°10.pdf,0.69,
pdf-71,LICITACION PUBLICA N°7,http://carmendeareco.gob.ar/wp-content/uploads/2023/LICITACION-PUBLICA-N°7.pdf,2023,Contrataciones,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Contrataciones,http://carmendeareco.gob.ar/wp-content/uploads/2023/LICITACION-PUBLICA-N°7.pdf,0.77,
pdf-96,LICITACION PUBLICA N°8,http://carmendeareco.gob.ar/wp-content/uploads/2023/LICITACION-PUBLICA-N°8.pdf,2023,Contrataciones,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Contrataciones,http://carmendeareco.gob.ar/wp-content/uploads/2023/LICITACION-PUBLICA-N°8.pdf,0.77,
pdf-102,LICITACION PUBLICA N°9,http://carmendeareco.gob.ar/wp-content/uploads/2023/LICITACION-PUBLICA-N°9.pdf,2023,Contrataciones,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Contrataciones,http://carmendeareco.gob.ar/wp-content/uploads/2023/LICITACION-PUBLICA-N°9.pdf,0.7,
