hash,filename,category,year,size_mb,web_url
0ac5b5091f01ddc827b061b3f414ed2aec1d3f408d747d04ebf6bbed7785168d,ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-2023-4°TRI.pdf,budget_execution,2023,0.1,/data/documents/pdfs/budget_execution/2023/0ac5b509_ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-2023-4°TRI.pdf
75d3b177a2d81d121848a0d0179220eda740948f9df8790960b19037712e0ce2,ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-4°TRE-2022.pdf,budget_execution,2022,0.1,/data/documents/pdfs/budget_execution/2022/75d3b177_ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-4°TRE-2022.pdf
5543a0b6883b62e2d8ee6250e6caa93a33644da29a19a8f705dd718d4cf959f0,ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-4°TRE-2022.pdf,budget_execution,2022,0.06,/data/documents/pdfs/budget_execution/2022/5543a0b6_ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-4°TRE-2022.pdf
e4f48d0c2926a7e5457a68722f1d7af287e80dbd4171f13b1348ea1bab2e445c,Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Junio.pdf,budget_execution,unknown,0.28,/data/documents/pdfs/budget_execution/unknown/e4f48d0c_Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Junio.pdf
d4ad8d5154f9246807e8883b107f9e35d6ede6335645958e37c7c6707d6760b6,ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-3°TRIMESTRE.pdf,budget_execution,unknown,0.1,/data/documents/pdfs/budget_execution/unknown/d4ad8d51_ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-3°TRIMESTRE.pdf
6f39b1bf90fdf0b4398b6bc6baf8b556b3ed02ef597e7f798639ea010354f326,Estado-de-Ejecucion-de-Recursos-por-Caracter-Economico-Junio.pdf,budget_execution,unknown,0.37,/data/documents/pdfs/budget_execution/unknown/6f39b1bf_Estado-de-Ejecucion-de-Recursos-por-Caracter-Economico-Junio.pdf
9184981528eaf7b5a7f90ddc786d9accf7ca755ec0b7222cf5b75503e5b3ea6d,ESTADOS-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS.pdf,budget_execution,unknown,0.11,/data/documents/pdfs/budget_execution/unknown/91849815_ESTADOS-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS.pdf
d53d9da0a37c71f6172da64f9916d937791985b50ecb99c1596e61e0f53f2c2a,SITUACION-ECONOMICA-FINANCIERA-1.pdf,financial_statements,unknown,0.07,/data/documents/pdfs/financial_statements/unknown/d53d9da0_SITUACION-ECONOMICA-FINANCIERA-1.pdf
7d3ccddca8fb3b8f31b2b1ed91c46ac8190b3aac4bdaa82647c3b3cb0d8c728f,Estado-de-Ejecucion-de-Recursos-por-Caracter-Economico-Marzo.pdf,budget_execution,unknown,0.37,/data/documents/pdfs/budget_execution/unknown/7d3ccddc_Estado-de-Ejecucion-de-Recursos-por-Caracter-Economico-Marzo.pdf
648e058f6e2b4fd2cf13fc7615e2d81d487f521590c091be4f225f9bf72604d3,ESTADO-DE-EJECUCION-DE-RECURSOS-2023-4°TRI.pdf,budget_execution,2023,0.14,/data/documents/pdfs/budget_execution/2023/648e058f_ESTADO-DE-EJECUCION-DE-RECURSOS-2023-4°TRI.pdf
ab1883e079bd3e4983c43d78842421dcc9618b8d8449bc5b82a42a3cc64c88a1,Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Junio.pdf,budget_execution,unknown,0.27,/data/documents/pdfs/budget_execution/unknown/ab1883e0_Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Junio.pdf
df5587bfd6c7b2257485c89f3c68a55ddd4c5ecd7e7b63656c31085211d49852,Estado-de-Ejecucion-de-Recursos-por-Procedencia-Junio.pdf,budget_execution,unknown,0.35,/data/documents/pdfs/budget_execution/unknown/df5587bf_Estado-de-Ejecucion-de-Recursos-por-Procedencia-Junio.pdf
7204f82ac99b0cbc94d6f6d3181968b9f06c96c9d2ce56f4077d906d1d71c01b,ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf,budget_execution,2022,0.1,/data/documents/pdfs/budget_execution/2022/7204f82a_ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf
2db8629dcbf32354177d38d0a07f390dcb9394dc89d0fd8a9557518be40493c1,ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-2.pdf,budget_execution,unknown,0.1,/data/documents/pdfs/budget_execution/unknown/2db8629d_ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-2.pdf
12c15f3752c5adaae566b63ab5445425961323386899bee3d6cc6399abf89ff4,SITUACION-ECONOMICA-FINANCIERA.pdf,financial_statements,unknown,0.07,/data/documents/pdfs/financial_statements/unknown/12c15f37_SITUACION-ECONOMICA-FINANCIERA.pdf
1fdbe0cea50eaf6e9be1db520f63d5b8572573dea8dce55e25966902515bb958,ESTADO-DE-EJECUCION-DE-RECURSOS.pdf,budget_execution,unknown,0.14,/data/documents/pdfs/budget_execution/unknown/1fdbe0ce_ESTADO-DE-EJECUCION-DE-RECURSOS.pdf
f7d12a5f4353fe34d27bc2c879a1caad55d8ab8f5b2ae7fde7d867f8e69b5257,ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-3°TRIMESTRE.pdf,budget_execution,unknown,0.11,/data/documents/pdfs/budget_execution/unknown/f7d12a5f_ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-3°TRIMESTRE.pdf
